date,image,đường trước nhà,số tầng,số phòng ngủ,số nhà vs,chỗ để xe,diện tích,kích thước,hướng nhà,giá,địa chỉ,quận,huyện
08/12/2020,/files/properties/2020/11/28/thumbnails/07437047-5853-ban-can-ho-chung-cu-quan-nam-tu-liem.jpg,25.0,22,3,3,1,66, ---, Bắc,2100.0,"Đường Nguyễn Cơ Thạch, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Phường Mỹ Đình 1
08/12/2020,/files/properties/2020/12/8/thumbnails/07502631-2013-ban-can-ho-chung-cu-quan-hoang-mai-chinh-chu.jpg,NULL,15,3,2,NULL,121, ---, _,NULL,"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Hoàng Mai,Phường Tân Mai
08/12/2020,/files/properties/2020/12/6/thumbnails/07493437-3538-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,20.0,18,3,3,NULL,229, ---, _,9999.0,"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Thanh Xuân,Phường Nhân Chính
08/12/2020,/files/properties/default.jpg,NULL,NULL,NULL,NULL,NULL,25, ---, _,2500.0,"Đường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Đường Trần Hưng Đạo
08/12/2020,/files/properties/default.jpg,NULL,6,2,3,NULL,66, ---, _,1700.0,"Đường 19 tháng 5, Phường Văn Quán, Quận Hà Đông, Hà Nội",Hà Đông,Phường Văn Quán
08/12/2020,/files/properties/default.jpg,NULL,2,8,8,NULL,71, ---, _,20500.0,"Đường Hoàng Quốc Việt, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,Phường Cổ Nhuế 1
07/12/2020,/files/properties/2020/12/7/thumbnails/07501244-3357-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,5.0,7,2,3,1,48, ---, Đông Nam,550.0,"Phố Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Cầu Giấy,Phường Mai Dịch
07/12/2020,/files/properties/2020/12/7/thumbnails/07501211-2507-ban-can-ho-chung-cu-ha-noi.jpg,NULL,7,2,1,NULL,45, ---, _,700.0,"Đường Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",Hai Bà Trưng,Phường Thanh Nhàn
07/12/2020,/files/properties/2020/12/7/thumbnails/07500045-3513-ban-can-ho-chung-cu-quan-dong-da-chinh-chu.jpg,NULL,6,2,3,1,35, ---, _,566.0,"Phố Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà Nội",Đống Đa,Phường Phương Liên
07/12/2020,/files/properties/2020/12/4/thumbnails/07483126-2525-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,6,2,2,1,45, ---, _,845.0,"Đường Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",Tây Hồ,Phường Bưởi
07/12/2020,/files/properties/2020/12/7/thumbnails/07500092-4130-ban-can-ho-chung-cu-ha-noi.jpg,5.0,5,2,2,1,35, 20x50m, Đông,600.0,"Phố Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội",Đống Đa,Phường Phương Mai
07/12/2020,/files/properties/2020/12/7/thumbnails/07499912-2042-ban-can-ho-chung-cu-quan-tay-ho-gia-re.jpg,NULL,6,2,2,NULL,35, ---, _,650.0,"Phố Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Tây Hồ,Phường Thụy Khuê
07/12/2020,/files/properties/2020/12/7/thumbnails/07499442-3710-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,20.0,NULL,3,2,1,94, ---, _,2800.0,"Đường Nguyễn Văn Huyên, Phường Xuân La, Quận Tây Hồ, Hà Nội",Tây Hồ,Phường Xuân La
07/12/2020,/files/properties/2020/10/19/thumbnails/07156086-5957-ban-can-ho-chung-cu-ha-noi.jpg,NULL,28,3,3,1,99, ---, _,3800.0,"Đường Nguyễn Hoàng Tôn, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,Phường Xuân Đỉnh
07/12/2020,/files/properties/2020/11/11/thumbnails/20201111_102408_600198_0.jpg,80.0,44,3,3,NULL,113, 80x2000m, _,4859.0,"Đường Lê Quang Đạo, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Phường Mễ Trì
07/12/2020,/files/properties/2020/12/7/thumbnails/20201207_022032_609722_0.jpg,NULL,NULL,2,2,NULL,63, ---, _,1083.6,"Đường 70, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Phường Đại Mỗ
07/12/2020,/files/properties/2020/12/3/thumbnails/07475197-5005-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,5,2,3,NULL,35, ---, _,600.0,"Phố Tôn Đức Thắng, Phường Cát Linh, Quận Đống Đa, Hà Nội",Đống Đa,Phường Cát Linh
07/12/2020,/files/properties/2020/12/7/thumbnails/20201207_095156_594743_0.jpg,NULL,25,2,2,NULL,44, ---, Tây Bắc,1050.0,"Đường Nhổn, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Phường Phương Canh
06/12/2020,/files/properties/default.jpg,NULL,NULL,4,3,NULL,250, ---, _,22500.0,"Đường Lạc Long Quân, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Tây Hồ,Phường Phú Thượng
05/12/2020,/files/properties/2020/12/5/thumbnails/20201205_094424_613698_0.jpg,NULL,20,5,6,NULL,200, ---, _,8750.0,"Đường Lê Quang Đạo, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Phường Mễ Trì
04/12/2020,/files/properties/2020/12/4/thumbnails/07479321-0520-ban-can-ho-chung-cu-quan-dong-da.jpg,NULL,6,1,2,NULL,35, ---, _,600.0,"Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội",Đống Đa,Phường Hàng Bột
04/12/2020,/files/properties/2020/11/28/thumbnails/07441198-1037-ban-can-ho-chung-cu-quan-long-bien.jpg,8.0,8,2,2,NULL,70, ---, _,1650.0,"Đường Mai Chí Thọ, Phường Giang Biên, Quận Long Biên, Hà Nội",Long Biên,Phường Giang Biên
04/12/2020,/files/properties/2020/12/4/thumbnails/07477998-4955-ban-can-ho-chung-cu-quan-dong-da.jpg,3.0,5,2,1,NULL,28, ---, _,550.0,"Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội",Đống Đa,Phường Hàng Bột
28/11/2020,/files/properties/2020/11/23/thumbnails/0quy-hang-sunshinecenter-16-pham-hung-gia-tot-nhat-cdt-.jpg,NULL,18,3,4,1,120, ---, Tây Nam,3900.0,"Đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Phường Mễ Trì
27/11/2020,/files/properties/2020/11/27/thumbnails/20201127_092154_531123_0.jpg,20.0,NULL,2,2,1,48," 4,8x10m", Đông Nam,960.0,"Đường 70, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Phường Đại Mỗ
24/11/2020,/files/properties/2020/11/22/thumbnails/07396269-3601-ban-cac-loai-khac-ha-noi.jpg,NULL,6,2,2,NULL,55, ---, _,3650.0,"Phố Hàng Vôi, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội",Hoàn Kiếm,Phường Lý Thái Tổ
08/12/2020,/files/properties/2019/5/30/thumbnails/20190530_080610_4504293_0.jpg,10.0,9,58,57,NULL,228, ---, _,15000.0,"Xã Kim Chung, Huyện Đông Anh, Hà Nội",Huyện Đông Anh,Xã Kim Chung
08/12/2020,/files/properties/2019/9/23/thumbnails/20190923_105109_5140429_0.jpg,2.5,7,50,51,NULL,197, ---, _,19000.0,"Đường Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",Thanh Xuân,Phường Thanh Xuân Nam
08/12/2020,/files/properties/2020/11/6/thumbnails/20201106_022632_586514_0.jpg,NULL,6,2,1,NULL,45, ---, _,1900.0,"Phố Trần Huy Liệu, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Ba Đình,Phường Giảng Võ
